"model","predictor","unit","listener","probability","crossing_point","ci_lo","ci_hi","ci_bounded","observed_max","within_tested_range"
"B1 angular","angular disparity","deg","average",0.5,143.757350716597,-Inf,Inf,0,115.500687078301,FALSE
"B1 angular","angular disparity","deg","p10_resistant",0.5,-53.9850842839937,-256.968999291127,-17.5011751332084,1,115.500687078301,FALSE
"B1 angular","angular disparity","deg","p90_susceptible",0.5,31.3827021692202,21.8585379844632,41.9113494940366,1,115.500687078301,TRUE
"B1 angular","angular disparity","deg","average",0.75,304.509697294235,-Inf,Inf,0,115.500687078301,FALSE
"B1 angular","angular disparity","deg","p10_resistant",0.75,-115.044549972588,-465.256682305155,-54.1614888473395,1,115.500687078301,FALSE
"B1 angular","angular disparity","deg","p90_susceptible",0.75,66.0820624619459,52.8018260837793,93.7772053098939,1,115.500687078301,TRUE
"B2 nominal","nominal disparity","cm","average",0.5,-1417.29563689021,-Inf,Inf,0,69.9999988079071,FALSE
"B2 nominal","nominal disparity","cm","p10_resistant",0.5,-113.356422306083,-Inf,Inf,0,69.9999988079071,FALSE
"B2 nominal","nominal disparity","cm","p90_susceptible",0.5,8.5040244305165,-Inf,Inf,0,69.9999988079071,TRUE
"B2 nominal","nominal disparity","cm","average",0.75,-3733.52144618823,-Inf,Inf,0,69.9999988079071,FALSE
"B2 nominal","nominal disparity","cm","p10_resistant",0.75,-212.338179533618,-Inf,Inf,0,69.9999988079071,FALSE
"B2 nominal","nominal disparity","cm","p90_susceptible",0.75,116.736183072176,-Inf,Inf,0,69.9999988079071,FALSE
